"Exness","Symbol","Timestamp","Bid","Ask"
"exness","EURUSD","2026-09-25 02:54:41.280Z",1.13725,1.13731
"exness","EURUSD","2026-09-25 02:54:56.419Z",1.13728,1.13734
"exness","EURUSD","2026-09-25 02:54:56.528Z",1.13729,1.13735
"exness","EURUSD","2026-09-25 02:54:58.976Z",1.13727,1.13733
"exness","EURUSD","2026-09-25 02:55:02.123Z",1.13725,1.13731
"exness","EURUSD","2026-09-25 02:55:09.439Z",1.13726,1.1373199999999999
"exness","EURUSD","2026-09-25 02:55:17.263Z",1.13725,1.13731
"exness","EURUSD","2026-09-25 02:55:18.505Z",1.13724,1.1373
"exness","EURUSD","2026-09-25 02:55:28.767Z",1.13725,1.13731
"exness","EURUSD","2026-09-25 02:55:32.978Z",1.13723,1.13729
"exness","EURUSD","2026-09-25 02:55:37.940Z",1.13724,1.1373
"exness","EURUSD","2026-09-25 02:55:41.385Z",1.13723,1.13729
"exness","EURUSD","2026-09-25 02:55:43.314Z",1.1372200000000001,1.13728
"exness","EURUSD","2026-09-25 02:55:55.658Z",1.13724,1.1373
"exness","EURUSD","2026-09-25 02:56:08.417Z",1.13723,1.13729
"exness","EURUSD","2026-09-25 02:56:10.709Z",1.13724,1.1373
"exness","EURUSD","2026-09-25 02:56:11.855Z",1.1372200000000001,1.13728
"exness","EURUSD","2026-09-25 02:56:13.339Z",1.13723,1.13729
"exness","EURUSD","2026-09-25 02:56:20.337Z",1.1372200000000001,1.13728
"exness","EURUSD","2026-09-25 02:56:22.838Z",1.13723,1.13729
"exness","EURUSD","2026-09-25 02:56:38.856Z",1.1372200000000001,1.13728
"exness","EURUSD","2026-09-25 02:57:02.263Z",1.1372,1.13726
"exness","EURUSD","2026-09-25 02:57:02.298Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 02:57:03.406Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 02:57:03.498Z",1.1372200000000001,1.13728
"exness","EURUSD","2026-09-25 02:57:04.544Z",1.13721,1.13727
"exness","EURUSD","2026-09-25 02:57:09.058Z",1.1372200000000001,1.13728
"exness","EURUSD","2026-09-25 02:57:13.112Z",1.13721,1.13727
"exness","EURUSD","2026-09-25 02:57:20.896Z",1.13723,1.13729
"exness","EURUSD","2026-09-25 02:57:22.945Z",1.13724,1.1373
"exness","EURUSD","2026-09-25 02:57:23.955Z",1.13723,1.13729
"exness","EURUSD","2026-09-25 02:57:27.433Z",1.13724,1.1373
"exness","EURUSD","2026-09-25 02:57:31.505Z",1.13725,1.13731
"exness","EURUSD","2026-09-25 02:57:36.330Z",1.13723,1.13729
"exness","EURUSD","2026-09-25 02:57:37.397Z",1.13724,1.1373
"exness","EURUSD","2026-09-25 02:57:40.556Z",1.13723,1.13729
